objectid,filename,title,creator,contributor,subject,maker,model,location of manufacture,year of manufacture,materials,description,type,format,rights,rightsstatement
coll001,royalcrest001.jpeg,Harmony: Royal Crest,Mariel Murray,,guitar; acoustic,Harmony,Royal Crest,"Chicago, IL",1938,"spruce, flamed maple, rosewood","Carved spruce top, flame maple back, rosewood fingerboard.",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,archtop002.jpeg,Harmony: Archtop,Mariel Murray,,guitar; acoustic,Harmony,,,1943,"laminate birch, solid spruce, maple","Laminate birch back and sides, solid spruce top, maple neck, replaced rosewood fingerboard/bridge. Sold by Tower, built by Harmony (likely in Chicago, IL).",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,k6000003.jpeg,Kay: Kay 6000,Mariel Murray,,guitar; acoustic,Kay,K6000,"Chicago, IL",1958,"spruce, maple, ebony","Solid spruce top, mahogany back/sides, maple neck, ebony fretboard/bridge",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,x500004.jpeg,Guild: X500,Mariel Murray,,guitar; acoustic,Guild,X500,"Westerly, RI",1972,"laminate spruce, flamed maple, walnut, ebony","Epiphone-style inlays. Laminate spruce top, flamed maple back and sides, maple with two strips of walnut neck, ebony fretboard/bridge.",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,stratocaster005.jpeg,Fender: Vintage Hot Rod '62 Stratocaster,Mariel Murray,,guitar; electric,Fender,AV '62 Hot Rod,"Corona, CA",2013,"alder, maple, rosewood, celluloid","Modern reissuance of classic '62 Hot Rod model. Replaced pickups and single ply pick guard (unusually combined with rosewood neck). Alder body, maple neck, rosewood fingerboard.",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,banjolin006.jpeg,Weymann: Style 25 Banjolin,Mariel Murray,,banjo; mandolin; plucked instruments,Weymann,Style 25 Banjolin,"Philadelphia, PA",1924,"laminate maple, ebony, goatskin","Mandolin featuring banjo pot. Laminate maple pot, maple neck, ebony fingerboard, walnut bridge made by current owner, goatskin hide.",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,banjeaurine007.jpeg,S.S. Stewart: Banjeaurine,Mariel Murray,,banjo; plucked instruments,S.S. Stewart,Banjeaurine,"Philadelphia, PA",1898,"cherry, ebony","Ebony fretboard, fiberskyn produced by Waverly.",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,americanprincess008.jpeg,S.S. Stewart: American Princess,Samantha Cody,,banjo; plucked instruments,S.S. Stewart,American Princess,"Philadelphia, PA",1891,"cherry, brass","Brass plate, cherry neck, modern synthetic head, light gauge steel strings.",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,special009.jpeg,"A.C. Fairbanks and Co. ""Special"" banjo serial #88",Samantha Cody,,banjo; plucked instruments,A.C. Fairbanks,"""Special"" serial #88","Boston, MA",1896,"stained maple, ebony","Original skin head with two sets of initials and ""Xmas 1896"" inscribed. Headstock facing and ebony fingerboard redone. ",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,workshop010.jpeg,Unknown workshop violin,Samantha Cody,,violin; bowed stringed instruments,Unknown,,"Mittenwald, Germany",,"maple, spruce","Two-piece maple back, two-piece spruce table. Antiquated workshop violin originating from Mittenwald, Germany in the mid-late 1880's. Repaired by C. F. Emory in Los Angeles, CA in 1915.",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,azzola011.jpeg,1947 Azzola Violin,Samantha Cody,,violin; bowed stringed instruments,Luigi Azzola,,"Turin, Italy",1947,"maple, spruce","Two-piece maple back, two-piece spruce table. Likely based on Strad model. Azzola was a student of Hannibal Fagnola, a major 20th century Turinese maker.",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,parlortailpiece012.jpeg,Regal: Parlor Tailpiece Guitar,Evan Goldstein,,guitar; acoustic,Regal,,"Chicago, IL",,"flamed maple, spruce, poplar, Brazillian rosewood ",Acquired from pawn shop which had acquired this piece from original owner. Original yellow interior Guild hardcase.,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,classicmarkiv013.jpeg,Guild: Classic Mark IV,Evan Goldstein,,guitar; acoustic,Guild,Classic Mark IV,"Hoboken, NJ",1969,"sitka spruce, pearwood, ebony","Sitka spruce top, pearwood back and sides, ebony fretboard. Floating suspension bridge, tuners, and frets likely replaced by original owner. Ladder bracing, batwing pickguard, convex back.",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll014,ukelin014.jpeg,Bosstone Company: Ukelin,Chuck Murray,,ukulele; bowed stringed instruments,The Bosstone Company,Ukelin,"East Boston, MA",1925,,"Bowed instrument, intended to be played flat. Materials unclear.",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll015,marcaregistrada015.jpeg,Hohner: Marca Registrada Diatonic Accordion,Chuck Murray,,accordion,Hohner,Marca Registrada,Germany,,brass,"Uncertain age; predates 1990's. Brass buttons. ""Marca Registrada"" referred to colloquially as model name.",Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
